Students	1153
1180	454 305 375 746 12 
1037	563 267 192 445 217 15 
726	115 487 466 363 717 560 
727	632 29 
724	121 295 618 618 267 684 615 192 
390	440 462 746 433 
722	659 581 180 457 684 15 321 
723	26 684 217 1 
720	277 292 565 
721	692 684 651 460 651 651 
1160	547 322 322 500 548 
1035	91 481 
1167	192 253 407 
728	709 709 21 399 590 590 439 
729	134 
151	199 669 565 528 
150	311 108 408 72 9 318 
153	297 669 308 565 297 
152	412 344 63 416 651 651 
155	115 487 615 
154	98 563 720 514 53 
157	93 268 344 62 
156	7 144 24 29 
159	655 631 548 333 310 333 740 729 729 
158	341 308 313 514 
609	172 202 
608	363 412 374 359 433 359 
976	118 324 311 440 308 516 160 163 160 
1161	15 295 717 172 458 
634	147 433 
399	115 45 192 457 374 
635	684 209 217 
749	457 21 62 514 741 
958	665 69 45 416 651 163 651 
398	629 313 209 
48	442 33 535 267 108 45 445 160 460 359 160 359 
49	98 460 29 72 718 
46	322 322 548 333 729 729 333 
47	121 172 313 714 
44	15 7 704 172 192 
45	322 322 333 333 740 
42	309 172 213 565 528 184 
43	363 704 172 684 313 
40	585 
41	58 158 204 459 
1111	347 412 45 651 532 458 321 651 
638	115 172 615 15 603 718 
1113	267 308 386 632 209 29 478 
1112	240 454 
5	709 709 590 632 374 374 
1114	295 615 313 359 328 704 359 
1117	487 655 573 9 489 
639	228 395 535 
1119	549 327 370 615 192 714 
1118	341 669 308 
1173	535 313 321 
1185	585 108 
1163	437 27 386 615 192 
489	282 313 651 651 22 
488	466 352 
487	7 665 323 19 111 386 160 163 160 574 613 
486	7 466 325 192 305 321 
485	352 580 360 98 
484	737 737 62 344 412 45 204 651 737 651 651 
483	709 709 399 444 217 319 
482	7 144 
481	115 341 313 313 632 359 359 
480	669 213 565 528 318 
955	115 352 58 72 
472	45 63 
470	466 202 308 612 
471	737 549 717 341 651 737 651 
476	108 416 24 
477	388 631 573 328 321 
474	312 108 308 436 188 
475	669 213 528 
478	268 63 
479	15 199 58 39 347 478 
